,Date,Industry,ret3,ret10,ret20
0,2022-02-24,Metal,0.06056749953516283,0.15620051029289628,0.19031585030384113
1,2022-02-24,Energy,0.06999090167219824,0.21377245766665953,0.15682596362194334
2,2022-02-24,Semiconductor,-0.03797448187021546,-0.05036086531756201,-0.009958970301839232
3,2022-02-24,Transport,-0.0005543808889625357,-0.004296237721655771,-0.0017590711428401296
4,2022-02-24,Food,0.014568080091921676,-0.016249079173141112,-0.05774045781629489
5,2022-02-25,Metal,0.045115511011220466,0.11490718880098316,0.15017241066040232
6,2022-02-25,Energy,0.08962141141672397,0.21276603814685258,0.21362798699638397
7,2022-02-25,Semiconductor,-0.012101917032403708,-0.05064973986813348,-0.007264975967054221
8,2022-02-25,Transport,0.0010434479822105658,-0.0040625556864390955,-0.005459728604838787
9,2022-02-25,Food,-0.008440883762215412,-0.031816207078660286,-0.06511415009194277
10,2022-03-02,Metal,0.0381307666103996,0.032315555497840265,0.044436743840754245
11,2022-03-02,Energy,0.11343728164038502,-0.008930687986462793,0.07714091343801144
12,2022-03-02,Semiconductor,-0.05627566064517697,-0.013491653438048923,-0.011657715054442797
13,2022-03-02,Transport,-0.04644657439449573,0.025652204193770345,-0.00677240283176217
14,2022-03-02,Food,0.02118150242809924,-0.04069659431686512,-0.05832398228257618
15,2022-03-06,Metal,0.024500785950859694,0.03247219383996813,0.020613032953494814
16,2022-03-06,Energy,0.016138834482672504,-0.05732575913753335,-0.004102942788130504
17,2022-03-06,Semiconductor,0.029335610668524192,0.044390390477617836,0.021913456625992978
18,2022-03-06,Transport,0.03859005960034256,0.04866465094801975,-0.009141385211867248
19,2022-03-06,Food,-0.04279834561609741,-0.07516179693077985,-0.059600248877075934
20,2022-03-09,Metal,0.02830806006946207,0.06421660916204353,0.026984089780246467
21,2022-03-09,Energy,-0.02370542243402385,-0.016668440043366317,0.015617933686373542
22,2022-03-09,Semiconductor,-0.06152544586827191,-0.007664964270160057,-0.08786895852169718
23,2022-03-09,Transport,0.0072567661843163656,0.01642255859576447,-0.07458472697737273
24,2022-03-09,Food,0.00037513295300928284,-0.042118607745391334,0.002244685036701499
25,2022-03-16,Metal,0.03828740495252747,0.01212118834291398,0.08775154031117238
26,2022-03-16,Energy,0.06504221048931447,0.08607160142447423,0.2026202060703448
27,2022-03-16,Semiconductor,0.0016063832704897862,0.0018339383836061263,-0.10320082779651896
28,2022-03-16,Transport,-0.023434127640246327,-0.032424607025532515,-0.09034541434826993
29,2022-03-16,Food,-0.013283700185815484,-0.01762738796571106,0.06776305984385078
30,2022-04-01,Metal,-0.021565608502915,0.08641737264148586,0.001966537002299651
31,2022-04-01,Energy,-0.01731979520592053,0.118889019300076,0.04449596123123145
32,2022-04-01,Semiconductor,-0.06093728781602081,-0.07597409151341361,-0.03631605290691453
33,2022-04-01,Transport,-0.049723900028717516,-0.011914124307634721,0.042382010004773374
34,2022-04-01,Food,0.01283731095938112,0.058409466127612,0.08579330654207351
35,2022-04-14,Metal,0.00013811149305831272,-0.05296542000123572,-0.08812939505617057
36,2022-04-14,Energy,-0.0042612409751885405,-0.05116132602356305,-0.0027533275916593603
37,2022-04-14,Semiconductor,0.009794117073763653,0.024312980337304002,0.04975988735870096
38,2022-04-14,Transport,0.021434177867499127,0.0545024745584195,0.03346688158832367
39,2022-04-14,Food,0.0045614931270117065,0.03952772986866493,0.09652164844478062
40,2022-05-17,Metal,0.010116460462584298,0.03905997166246533,0.008677864299290183
41,2022-05-17,Energy,0.018658332005954348,0.1255029403011898,0.10398496374173427
42,2022-05-17,Semiconductor,0.006551610502770422,0.010426924261663584,-0.008624625202546365
43,2022-05-17,Transport,-0.017302422216266322,-0.01993311523996666,-0.02953920759732709
44,2022-05-17,Food,-0.019328055524156396,-0.040100260288602696,-0.003560192072542323
45,2022-09-01,Metal,0.006174783965372743,4.508835352745599e-05,-0.006813374733694477
46,2022-09-01,Energy,-0.0007432492387753342,0.021285549227884504,0.009525101983643536
47,2022-09-01,Semiconductor,0.001834363064261546,0.01780710848142031,0.013057979146012477
48,2022-09-01,Transport,-0.0025779371195362444,-0.02551887041897949,-0.025976899387979757
49,2022-09-01,Food,-0.008677463663281593,-0.017863038753792138,0.024268606187164643
50,2022-09-21,Metal,-0.032396013621939,0.028212958835478474,0.07408985584903038
51,2022-09-21,Energy,-0.11910999427413582,0.10359786517921821,0.17618465288145568
52,2022-09-21,Semiconductor,-0.023530806971817086,0.01625800537893085,-0.07177861902232863
53,2022-09-21,Transport,-0.029151679105581252,0.0015295001211155235,0.017763668708231206
54,2022-09-21,Food,0.015938090790926784,-0.006474237357773305,0.04263608100096983
55,2022-10-08,Metal,0.007511762806361455,0.02648993695495583,0.09833727591912789
56,2022-10-08,Energy,0.02962105713785035,0.03372374512727738,0.19190919096182957
57,2022-10-08,Semiconductor,-0.020829026095380176,-0.033259212054800646,0.02847413830967027
58,2022-10-08,Transport,0.0038700821560673226,-0.00948723853630018,0.03565281283012245
59,2022-10-08,Food,0.019166205324027574,-0.006843320007089648,0.050604636023528826
60,2022-10-10,Metal,0.007511762806361455,0.02648993695495583,0.09833727591912789
61,2022-10-10,Energy,0.02962105713785035,0.03372374512727738,0.19190919096182957
62,2022-10-10,Semiconductor,-0.020829026095380176,-0.033259212054800646,0.02847413830967027
63,2022-10-10,Transport,0.0038700821560673226,-0.00948723853630018,0.03565281283012245
64,2022-10-10,Food,0.019166205324027574,-0.006843320007089648,0.050604636023528826
65,2022-11-12,Metal,-0.0008976701807177356,0.009887175029928752,-0.013693545288473885
