,Industry,Date,ret3,ret10,ret20
0,Energy,2022-02-24,0.026396273583115276,0.17752960233814954,0.07526565355713921
1,Energy,2022-02-25,0.04773201518435588,0.203058693057109,0.12433648641038131
2,Energy,2022-03-02,0.07322923994871008,0.10409632953808062,0.03617829762211433
3,Energy,2022-03-06,-0.003628103206538974,-0.10226394878101033,0.013706362950174439
4,Energy,2022-03-09,0.014391171950072057,-0.05965370878661447,-0.028299608210974103
5,Energy,2022-03-16,0.03898213678785689,0.11597031173118477,0.10376671564884177
6,Energy,2022-04-01,-0.013308547628048117,0.015678954793058697,0.050552655102998
7,Energy,2022-04-14,0.013212581516396593,-0.09412574192076084,0.006420471656954252
8,Energy,2022-05-17,0.018658332005954348,0.0953386875785538,0.14861741655014238
9,Energy,2022-09-01,0.05418316086115793,0.022123920853948154,0.007924534142472739
10,Energy,2022-09-21,-0.10475624668686095,0.018435487067519574,0.12902357205355264
11,Energy,2022-10-08,-0.01868045995815426,-0.018309236145644503,0.018577591534408855
12,Energy,2022-10-10,0.02962105713785035,0.04648959877045522,0.06217509888126205
13,Energy,2022-11-12,0.013874409339658889,-0.019320977490691837,-0.09531707366658704
14,Energy,2022-12-21,0.028624769426330632,-0.002260231509193411,-0.013336179799172676
15,Energy,2023-01-25,-0.020900044617131575,-0.08189215141597933,-0.025663481816301514
16,Energy,2023-02-20,0.02246501188064104,0.10793577319606568,-0.0012556391338289785
17,Food,2022-02-24,0.010353057272472231,0.022317173964701523,-0.03532883030200806
18,Food,2022-02-25,-0.0051833857569003605,0.01274061866588383,-0.05578065998009518
19,Food,2022-03-02,0.012717317471589697,-0.020504274920226735,-0.06298547256470244
20,Food,2022-03-06,-0.03208672103064421,-0.057646004266709586,-0.07606781921663719
21,Food,2022-03-09,-0.005366963839426992,-0.04006844823246943,-0.047993452121263935
22,Food,2022-03-16,-0.014509164996404051,-0.018421814949927597,0.011927815278073961
23,Food,2022-04-01,-0.012688809445497329,0.04808216657675657,0.08276394583337221
24,Food,2022-04-14,-0.0060598610676329545,0.024940154334380196,0.007694390419465513
25,Food,2022-05-17,-0.019328055524156396,-0.03636247104670276,-0.04427792263428443
26,Food,2022-09-01,-0.0048566336341109295,-0.04001844510488187,0.011083709720103752
27,Food,2022-09-21,0.011261897629919554,0.010501768798773709,0.051711019401624814
28,Food,2022-10-08,0.0311511733127523,0.02283646516302751,0.03175980442719695
29,Food,2022-10-10,0.019166205324027574,-0.001763795451290795,0.021941783733908593
30,Food,2022-11-12,4.4829004159252506e-05,0.03883302199023975,0.0384655089881043
31,Food,2022-12-21,0.017213907953459007,0.004567128576069057,-0.012585814898134817
32,Food,2023-01-25,-0.01706645214017688,-0.030838709124499625,-0.033778005176746895
33,Food,2023-02-20,0.012211951051591285,0.007063831958357858,0.010948981142307107
34,Metal,2022-02-24,0.04791344323202326,0.1320892686843318,0.12588451322947725
35,Metal,2022-02-25,-0.0008100052325898943,0.08324627762162007,0.08740453504750945
36,Metal,2022-03-02,0.038909855294990026,0.06191574404103309,0.061328136023473645
37,Metal,2022-03-06,-0.020664494478582984,-0.006204755454854549,0.053602978983365634
38,Metal,2022-03-09,0.04405992756692126,0.02626405533650855,0.01706805078094309
39,Metal,2022-03-16,0.011804316312780117,0.059807734438220184,0.008426741584351527
40,Metal,2022-04-01,-0.007661715193378882,0.012121202627969785,0.0540663774614385
41,Metal,2022-04-14,0.005135463510994254,-0.06273102850895113,-0.045188483621523945
42,Metal,2022-05-17,0.010116460462584298,0.056374015104981856,0.07252859851755988
43,Metal,2022-09-01,0.014552501207233726,0.03253187218228812,0.009587650277865567
44,Metal,2022-09-21,-0.02613992409999666,-0.002098561395817544,0.06950988563183458
45,Metal,2022-10-08,0.019133619870245727,0.012747431188455977,0.01244779654775438
46,Metal,2022-10-10,0.007511762806361455,0.026072000391543337,0.010098079292073597
47,Metal,2022-11-12,0.012006790110341281,0.018279806574508173,0.02369184227087401
48,Metal,2022-12-21,0.00218863393440788,-0.013545619196459191,0.07154248438909905
49,Metal,2023-01-25,0.011842326866348063,0.008845817710776194,-0.002473513608539868
50,Metal,2023-02-20,-0.014291158999959697,0.04546571649273701,-0.04581312636629026
51,Semiconductor,2022-02-24,-0.008697186655151366,-0.07500025973359706,-0.03691246877895815
52,Semiconductor,2022-02-25,0.003932567480031235,-0.06837757767758068,-0.024626325584769182
53,Semiconductor,2022-03-02,-0.0468832281401987,-0.050525893771091436,-0.009218475024617367
54,Semiconductor,2022-03-06,0.038622854619144976,0.03808779095463891,0.05554115921132755
55,Semiconductor,2022-03-09,-0.03756930399754858,0.007836928479755551,0.03241274420458273
56,Semiconductor,2022-03-16,0.008371992144261615,0.01745336825668864,-0.0655711392317565
57,Semiconductor,2022-04-01,0.0055260564600352335,-0.0931046523395278,-0.09502002308841861
58,Semiconductor,2022-04-14,0.011307143780581175,0.01085580375688626,0.07031919805743614
59,Semiconductor,2022-05-17,0.006551610502770422,0.015870201837610565,0.01618903113587422
60,Semiconductor,2022-09-01,0.0029750467200536646,0.011434736996816262,0.029477579654430763
61,Semiconductor,2022-09-21,-0.02401271497313836,-0.012273054010771278,-0.04212524704508591
62,Semiconductor,2022-10-08,-0.02831183043631772,-0.06296129562750832,-0.027372260883175605
63,Semiconductor,2022-10-10,-0.020829026095380176,-0.031885864939120934,-0.017265054967082014
64,Semiconductor,2022-11-12,0.026229770123584222,0.00021860748168959707,-0.006713604750934705
65,Semiconductor,2022-12-21,-0.030899798809106677,-0.03317564713977078,0.027010842642820165
